DateID,Date,Day,Month,Quarter,Year,Weekday
70,2025-03-11,11,3,1,2025,1
71,2025-03-12,12,3,1,2025,2
72,2025-03-13,13,3,1,2025,3
73,2025-03-14,14,3,1,2025,4
74,2025-03-15,15,3,1,2025,5
75,2025-03-16,16,3,1,2025,6
76,2025-03-17,17,3,1,2025,0
77,2025-03-18,18,3,1,2025,1
78,2025-03-19,19,3,1,2025,2
79,2025-03-20,20,3,1,2025,3
80,2025-03-21,21,3,1,2025,4
81,2025-03-22,22,3,1,2025,5
82,2025-03-23,23,3,1,2025,6
83,2025-03-24,24,3,1,2025,0
84,2025-03-25,25,3,1,2025,1
85,2025-03-26,26,3,1,2025,2
86,2025-03-27,27,3,1,2025,3
87,2025-03-28,28,3,1,2025,4
88,2025-03-29,29,3,1,2025,5
89,2025-03-30,30,3,1,2025,6
90,2025-03-31,31,3,1,2025,0
91,2025-04-01,1,4,2,2025,1
92,2025-04-02,2,4,2,2025,2
93,2025-04-03,3,4,2,2025,3
94,2025-04-04,4,4,2,2025,4
95,2025-04-05,5,4,2,2025,5
96,2025-04-06,6,4,2,2025,6
97,2025-04-07,7,4,2,2025,0
98,2025-04-08,8,4,2,2025,1
99,2025-04-09,9,4,2,2025,2
100,2025-04-10,10,4,2,2025,3
101,2025-04-11,11,4,2,2025,4
102,2025-04-12,12,4,2,2025,5
103,2025-04-13,13,4,2,2025,6
104,2025-04-14,14,4,2,2025,0
105,2025-04-15,15,4,2,2025,1
106,2025-04-16,16,4,2,2025,2
107,2025-04-17,17,4,2,2025,3
108,2025-04-18,18,4,2,2025,4
109,2025-04-19,19,4,2,2025,5
110,2025-04-20,20,4,2,2025,6
111,2025-04-21,21,4,2,2025,0
112,2025-04-22,22,4,2,2025,1
113,2025-04-23,23,4,2,2025,2
114,2025-04-24,24,4,2,2025,3
115,2025-04-25,25,4,2,2025,4
116,2025-04-26,26,4,2,2025,5
117,2025-04-27,27,4,2,2025,6
118,2025-04-28,28,4,2,2025,0
119,2025-04-29,29,4,2,2025,1
120,2025-04-30,30,4,2,2025,2
121,2025-05-01,1,5,2,2025,3
122,2025-05-02,2,5,2,2025,4
123,2025-05-03,3,5,2,2025,5
124,2025-05-04,4,5,2,2025,6
125,2025-05-05,5,5,2,2025,0
126,2025-05-06,6,5,2,2025,1
127,2025-05-07,7,5,2,2025,2
128,2025-05-08,8,5,2,2025,3
129,2025-05-09,9,5,2,2025,4
130,2025-05-10,10,5,2,2025,5
131,2025-05-11,11,5,2,2025,6
132,2025-05-12,12,5,2,2025,0
133,2025-05-13,13,5,2,2025,1
134,2025-05-14,14,5,2,2025,2
135,2025-05-15,15,5,2,2025,3
136,2025-05-16,16,5,2,2025,4
137,2025-05-17,17,5,2,2025,5
138,2025-05-18,18,5,2,2025,6
139,2025-05-19,19,5,2,2025,0
140,2025-05-20,20,5,2,2025,1
141,2025-05-21,21,5,2,2025,2
142,2025-05-22,22,5,2,2025,3
143,2025-05-23,23,5,2,2025,4
144,2025-05-24,24,5,2,2025,5
145,2025-05-25,25,5,2,2025,6
146,2025-05-26,26,5,2,2025,0
147,2025-05-27,27,5,2,2025,1
148,2025-05-28,28,5,2,2025,2
149,2025-05-29,29,5,2,2025,3
150,2025-05-30,30,5,2,2025,4
151,2025-05-31,31,5,2,2025,5
152,2025-06-01,1,6,2,2025,6
153,2025-06-02,2,6,2,2025,0
154,2025-06-03,3,6,2,2025,1
155,2025-06-04,4,6,2,2025,2
156,2025-06-05,5,6,2,2025,3
157,2025-06-06,6,6,2,2025,4
158,2025-06-07,7,6,2,2025,5
159,2025-06-08,8,6,2,2025,6
160,2025-06-09,9,6,2,2025,0
161,2025-06-10,10,6,2,2025,1
162,2025-06-11,11,6,2,2025,2
163,2025-06-12,12,6,2,2025,3
164,2025-06-13,13,6,2,2025,4
165,2025-06-14,14,6,2,2025,5
166,2025-06-15,15,6,2,2025,6
167,2025-06-16,16,6,2,2025,0
168,2025-06-17,17,6,2,2025,1
169,2025-06-18,18,6,2,2025,2
170,2025-06-19,19,6,2,2025,3
171,2025-06-20,20,6,2,2025,4
172,2025-06-21,21,6,2,2025,5
173,2025-06-22,22,6,2,2025,6
174,2025-06-23,23,6,2,2025,0
175,2025-06-24,24,6,2,2025,1
176,2025-06-25,25,6,2,2025,2
177,2025-06-26,26,6,2,2025,3
178,2025-06-27,27,6,2,2025,4
179,2025-06-28,28,6,2,2025,5
180,2025-06-29,29,6,2,2025,6
181,2025-06-30,30,6,2,2025,0
